cik,trans_date,trans_code,acquired_disposed,shares,price_per_share,value
1652044,2016-03-01,S,D,926.0,721.12,-667757.12
1652044,2016-03-01,S,D,400.0,719.77,-287908.0
1800,2016-02-29,S,D,1306.0,39.29,-51312.74
1800,2016-02-29,S,D,400.0,39.28,-15712.0
1800,2016-02-29,S,D,100.0,39.28,-3928.0
1800,2016-02-29,S,D,693.0,39.27,-27214.11
1800,2016-02-29,S,D,1340.0,39.26,-52608.399999999994
1800,2016-02-29,S,D,62.0,39.27,-2434.7400000000002
1800,2016-02-29,S,D,9017.0,38.94,-351121.98
1800,2016-02-29,S,D,100.0,38.94,-3894.0
1800,2016-02-29,S,D,1500.0,38.95,-58425.00000000001
1800,2016-02-29,S,D,1543.0,39.29,-60624.47
1800,2016-02-29,S,D,1100.0,39.29,-43219.0
1800,2016-02-29,S,D,443.0,39.29,-17405.47
1800,2016-02-29,S,D,3086.0,39.28,-121218.08
1800,2016-02-29,S,D,700.0,39.26,-27482.0
1800,2016-02-29,S,D,81.0,39.26,-3180.06
1800,2016-02-29,S,D,100.0,39.27,-3927.0000000000005
1800,2016-02-29,S,D,700.0,39.13,-27391.0
1800,2016-02-29,S,D,165.0,39.12,-6454.799999999999
1800,2016-02-29,S,D,1432.0,39.27,-56234.64000000001
1800,2016-02-29,S,D,1600.0,39.27,-62832.00000000001
829224,2016-02-29,S,D,20000.0,59.0,-1180000.0
1800,2016-02-29,S,D,100.0,39.3,-3929.9999999999995
1800,2016-02-29,S,D,300.0,39.3,-11790.0
1800,2016-02-29,S,D,933.0,39.31,-36676.23
1800,2016-02-29,S,D,6600.0,38.85,-256410.0
1800,2016-02-29,S,D,2799.0,38.84,-108713.16
1800,2016-02-29,S,D,1665.0,39.24,-65334.600000000006
1652044,2016-02-26,S,D,1250.0,731.65,-914562.5
1652044,2016-02-26,S,D,1863.0,732.67,-1364964.21
1652044,2016-02-26,S,D,1734.0,733.77,-1272357.18
1652044,2016-02-26,S,D,612.0,734.56,-449550.72
1652044,2016-02-26,S,D,233.0,735.6,-171394.80000000002
1652044,2016-02-26,S,D,1692.0,711.31,-1203536.52
1652044,2016-02-26,S,D,700.0,712.38,-498666.0
1652044,2016-02-26,S,D,100.0,713.06,-71306.0
1652044,2016-02-26,S,D,1120.0,722.71,-809435.2000000001
1652044,2016-02-26,S,D,1593.0,723.85,-1153093.05
1652044,2016-02-26,S,D,3554.0,724.85,-2576116.9
