date,cdv,subyacente,cdv_clp,volumen
2026-06-02,AAPLCL.SN,AAPL,252300.0,0
2026-06-03,AAPLCL.SN,AAPL,252300.0,0
2026-06-04,AAPLCL.SN,AAPL,252300.0,0
2026-06-05,AAPLCL.SN,AAPL,252300.0,0
2026-06-08,AAPLCL.SN,AAPL,252300.0,0
2026-06-09,AAPLCL.SN,AAPL,252300.0,10
2026-06-10,AAPLCL.SN,AAPL,252300.0,0
2026-06-11,AAPLCL.SN,AAPL,252300.0,0
2026-06-12,AAPLCL.SN,AAPL,252300.0,9
2026-06-15,AAPLCL.SN,AAPL,252300.0,0
2026-06-16,AAPLCL.SN,AAPL,252300.0,0
2026-06-17,AAPLCL.SN,AAPL,252300.0,0
2026-06-18,AAPLCL.SN,AAPL,252300.0,0
2026-06-19,AAPLCL.SN,AAPL,252300.0,0
2026-06-22,AAPLCL.SN,AAPL,252300.0,0
2026-06-23,AAPLCL.SN,AAPL,252300.0,0
2026-06-24,AAPLCL.SN,AAPL,252300.0,1
2026-06-25,AAPLCL.SN,AAPL,252300.0,11
2026-06-26,AAPLCL.SN,AAPL,252300.0,2
2026-06-30,AAPLCL.SN,AAPL,252300.0,8
2026-07-01,AAPLCL.SN,AAPL,252300.0,9
2026-07-02,AAPLCL.SN,AAPL,252300.0,1
2026-07-03,AAPLCL.SN,AAPL,252300.0,0
2026-07-06,AAPLCL.SN,AAPL,252300.0,27
2026-07-07,AAPLCL.SN,AAPL,252300.0,0
2026-07-08,AAPLCL.SN,AAPL,252300.0,8
2026-07-09,AAPLCL.SN,AAPL,252300.0,0
2026-07-10,AAPLCL.SN,AAPL,252300.0,1
2026-07-13,AAPLCL.SN,AAPL,252300.0,0
2026-07-14,AAPLCL.SN,AAPL,252300.0,0
2026-07-15,AAPLCL.SN,AAPL,252300.0,0
2026-07-17,AAPLCL.SN,AAPL,252300.0,4
2026-07-20,AAPLCL.SN,AAPL,252300.0,0
2026-07-21,AAPLCL.SN,AAPL,305810.0,10
2026-07-22,AAPLCL.SN,AAPL,305810.0,0
