published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes
2023-12-29,2023-12-29,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 223"
2023-12-29,2023-12-29,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 223"
2024-01-02,2024-01-02,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 222"
2024-01-03,2024-01-03,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 222"
2024-01-04,2024-01-04,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 222"
2024-01-04,2024-01-04,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 222"
2024-01-04,2024-01-04,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 222"
2024-01-25,2024-01-25,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 257"
2024-02-02,2024-02-02,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 256"
2024-02-09,2024-02-09,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 255"
2024-02-14,2024-02-14,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 254"
2024-02-14,2024-02-14,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 254"
2024-02-14,2024-02-14,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 254"
2024-02-14,2024-02-14,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 254"
2024-02-26,2024-02-26,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 252"
2024-02-28,2024-02-28,Credicorp Capital,CCU,Mantener,,,,,"Histórico validado, página 251"
2024-02-28,2024-02-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 251"
2024-02-28,2024-02-28,Credicorp Capital,MALLPLAZA,Mantener,,,,,"Histórico validado, página 251"
2024-03-06,2024-03-06,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 250"
2024-03-07,2024-03-07,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 249"
2024-03-07,2024-03-07,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 249"
2024-03-12,2024-03-12,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 249"
2024-03-18,2024-03-18,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 248"
2024-03-19,2024-03-19,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 247"
2024-03-20,2024-03-20,Credicorp Capital,SQM-ADR,Mantener,,,,,"Histórico validado, página 247"
2024-03-21,2024-03-21,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 247"
2024-03-21,2024-03-21,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 247"
2024-03-22,2024-03-22,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 246"
2024-03-26,2024-03-26,Credicorp Capital,MALLPLAZA,Mantener,,,,,"Histórico validado, página 246"
2024-03-26,2024-03-26,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 246"
2024-03-27,2024-03-27,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 245"
2024-03-27,2024-03-27,Credicorp Capital,SALFACORP,Comprar,,,,,"Histórico validado, página 246"
2024-04-02,2024-04-02,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 245"
2024-04-02,2024-04-02,Credicorp Capital,ENTEL,Mantener,,,,,"Histórico validado, página 245"
2024-04-02,2024-04-02,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 245"
2024-04-05,2024-04-05,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 244"
2024-04-05,2024-04-05,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 244"
2024-04-08,2024-04-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 243"
2024-04-11,2024-04-11,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 242"
2024-04-16,2024-04-16,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 242"
2024-04-16,2024-04-16,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 242"
2024-04-18,2024-04-18,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 241"
2024-04-19,2024-04-19,Credicorp Capital,CAP,Mantener,,,,,"Histórico validado, página 241"
2024-04-19,2024-04-19,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 241"
2024-04-23,2024-04-23,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 280"
2024-04-23,2024-04-23,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 280"
2024-04-23,2024-04-23,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 280"
2024-04-23,2024-04-23,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 280"
2024-04-26,2024-04-26,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 280"
2024-04-26,2024-04-26,Credicorp Capital,CENCOSUD,Mantener,,,,,"Histórico validado, página 280"
2024-04-26,2024-04-26,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 280"
2024-04-26,2024-04-26,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 280"
2024-04-30,2024-04-30,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 279"
2024-04-30,2024-04-30,Credicorp Capital,ECL,Mantener,,,,,"Histórico validado, página 279"
2024-04-30,2024-04-30,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 279"
