published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes,row_number,broker_normalized,signal,published_at_parsed,available_at_parsed
2024-06-18,2024-06-18,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 270",760,Credicorp Capital,1,2024-06-18,2024-06-18
2024-06-19,2024-06-19,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 270",761,Credicorp Capital,1,2024-06-19,2024-06-19
2024-06-19,2024-06-19,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 270",762,Credicorp Capital,0,2024-06-19,2024-06-19
2024-06-24,2024-06-24,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 270",763,Credicorp Capital,0,2024-06-24,2024-06-24
2024-06-24,2024-06-24,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 270",764,Credicorp Capital,0,2024-06-24,2024-06-24
2024-06-24,2024-06-24,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 270",765,Credicorp Capital,1,2024-06-24,2024-06-24
2024-07-01,2024-07-01,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 269",766,Credicorp Capital,1,2024-07-01,2024-07-01
2024-07-01,2024-07-01,Credicorp Capital,CONCHATORO,Mantener,,,,,"Histórico validado, página 269",767,Credicorp Capital,0,2024-07-01,2024-07-01
2024-07-01,2024-07-01,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 269",768,Credicorp Capital,1,2024-07-01,2024-07-01
2024-07-09,2024-07-09,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 268",769,Credicorp Capital,1,2024-07-09,2024-07-09
2024-07-09,2024-07-09,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 267",770,Credicorp Capital,1,2024-07-09,2024-07-09
2024-07-10,2024-07-10,Credicorp Capital,SALFACORP,Comprar,,,,,"Histórico validado, página 267",771,Credicorp Capital,1,2024-07-10,2024-07-10
2024-07-12,2024-07-12,Credicorp Capital,ANTARCHILE,Mantener,,,,,"Histórico validado, página 20",772,Credicorp Capital,0,2024-07-12,2024-07-12
2024-07-15,2024-07-15,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 266",773,Credicorp Capital,1,2024-07-15,2024-07-15
2024-07-18,2024-07-18,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 266",774,Credicorp Capital,1,2024-07-18,2024-07-18
2024-07-19,2024-07-19,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 266",775,Credicorp Capital,1,2024-07-19,2024-07-19
2024-07-25,2024-07-25,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 265",776,Credicorp Capital,0,2024-07-25,2024-07-25
2024-07-25,2024-07-25,Credicorp Capital,LTM,Comprar,,,,,"Histórico validado, página 265",777,Credicorp Capital,1,2024-07-25,2024-07-25
2024-07-26,2024-07-26,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 264",778,Credicorp Capital,0,2024-07-26,2024-07-26
