date,Sigma-6,Delta-12,IPSA Total Return,Gamma-6,Conjunto AlphaData,Oro
2023-04-25,137.97528951189815,146.45521328361352,126.53719055623472,108.81668375579491,129.65181406635205,119.86272042739061
2023-04-26,139.1642806254074,147.27416437787446,127.15822700183377,108.50902829264972,129.76412172848202,118.94207612863887
2023-04-27,140.92414448074973,148.38287682232956,129.1789234413203,108.79172726784397,130.2117741373384,117.88213413490793
2023-04-28,141.61804465354749,148.27672062917162,129.31908045537898,109.97613130953516,130.6531004647997,117.68962744028951
2023-05-02,141.1481379339421,146.73788317973083,128.20283847799513,110.07347577736913,130.8369079403811,119.85964473252463
2023-05-03,142.03455890292997,146.18751295014928,128.2801994193154,108.16959145124218,130.74114481312304,121.25220811604565
2023-05-04,142.13947120336093,148.1822789166243,128.3718864608802,107.25719220037347,130.98682162104035,121.44333981269912
2023-05-05,143.70856420051962,150.0072959278377,130.85507716992666,108.89331691341599,131.45882200393038,118.64061619462579
2023-05-08,146.80558080423864,153.77537495779126,133.91298326711492,108.514579364049,132.73463824084624,118.07831775701163
2023-05-09,144.72652462330316,150.52020356556514,132.53767764364304,108.01680539876578,131.72419317432383,119.28170362107166
2023-05-10,144.67918916134948,151.95396722960888,132.98465197127138,108.03115660537621,131.7580542013577,118.28968719876632
2023-05-11,144.6520094116308,151.71551900797402,133.71026894865523,107.15270169394066,131.0802670792344,116.99945581123397
2023-05-12,145.65701655722262,150.3104070524672,133.62646126222495,107.80965042030275,131.39195035777894,117.69952503467306
2023-05-15,142.94004692042142,150.50331718712155,133.66752941625916,106.87119722110654,130.21652726462568,116.57339395647556
2023-05-16,143.51173799689826,151.08870531541834,134.1653613997555,106.62775123962435,129.9596597063767,114.96866305420592
2023-05-17,143.31128571520486,149.59293240254556,133.83824877750612,109.26145406535966,130.845833939692,116.69703003575754
2023-05-18,144.1578787929079,149.66575751325954,134.68110100855745,110.01323728355939,130.6127295423475,114.29126431628929
2023-05-19,146.0055787618883,151.34372204434075,134.99006723716383,110.24342392730162,131.90314819772354,115.82713139317153
2023-05-22,146.50455988534353,151.6919807329649,135.89499923594133,109.60601752090054,131.95699804608194,116.01218191048035
2023-05-23,147.14996350221955,152.35809127222976,135.74696286674816,107.75978408228855,131.69738617247998,115.98743811676006
2023-05-24,145.69139010181934,151.02301456016673,134.74413584963324,107.93510541810244,130.99445633666897,115.53887938646575
2023-05-25,145.5997999629593,150.60945121166614,134.19281975855745,113.57998982472408,132.49027605197455,115.29205576353137
2023-05-26,146.20836834816103,151.3533726504028,133.93590502750612,114.75809078736721,133.33427022825646,115.97613127438103
2023-05-29,145.91709840192314,150.68250635432534,133.6823330531785,114.75809078736721,133.11930831640385,115.97613127438103
2023-05-30,145.77353926532004,153.15282522746688,133.53954958740832,113.82495365620782,133.24652132643956,115.59165091862904
2023-05-31,144.9520317154364,149.40662216711547,130.6430508863081,113.30915611893366,132.27893668417502,116.31342781225362
2023-06-01,145.25170593592637,150.30873629993502,131.81779110635696,115.76502364526964,133.74031025131933,117.9896485804376
2023-06-02,146.58262589220666,153.21094494084844,134.99508137224942,115.08012623166817,133.64195869125157,115.01943874612638
2023-06-05,146.4659373423424,155.2519189817887,135.01036254584352,115.10332317193325,134.16348003377664,115.33466110915528
2023-06-06,147.57932258022782,156.476659064567,136.4398685819071,115.08047233165078,134.66211114188084,115.26503796052951
2023-06-07,147.16074678715984,157.3682280457103,135.6034630959658,111.28145043673088,133.21232012474673,113.7073452699239
2023-06-08,147.39842199064122,158.81573503277343,135.44635352995112,111.9030576767506,134.00950122915467,114.55551082124272
2023-06-09,147.5891873294852,160.00173489954236,135.88162820904645,111.68847182758321,134.04384470079546,113.82020050812169
2023-06-12,147.65664779671104,160.72207315180123,135.9348735482885,113.43864705856018,134.6795435460031,113.64459473604575
2023-06-13,148.2356347631784,159.92399637067493,136.39020476772615,114.37844141945563,134.68176468800297,112.84440493962697
2023-06-14,148.67872307826923,161.1685771681373,136.48690594437653,117.66720818064222,136.65577601147928,115.0870107171503
2023-06-15,149.62707157026588,161.25271634635268,137.09385505806847,118.52064405045012,137.25389727432736,115.4881860951
